11013,0,600,42675,DONE
411,0,18497,42675,DONE
1966,0,20567,42675,DONE
2543,0,6148,42675,COMPLETED
9635,0,4470,42675,COMPLETED
2423,0,400,42675,DONE
2393,0,10737,42675,DONE
3693,0,15447,42675,DONE
772,0,24009,42675,DONE
5270,0,44749,42675,COMPLETED
2070,0,12138,42675,DONE
142,0,900,42676,DONE
9,0,800,42676,DONE
3424,0,900,42677,DONE
10364,0,4200,42677,DONE
539,0,700,42677,DONE
3554,0,1100,42677,DONE
979,0,1000,42677,DONE
2714,0,1300,42677,DONE
4034,0,8000,42678,DONE
401,0,6000,42678,DONE
4484,0,29511,42678,DONE
3374,0,200,42678,DONE
3545,0,900,42678,DONE
3047,0,600,42678,DONE
96,0,1100,42679,DONE
3424,0,44162,42679,DONE
461,0,600,42679,DONE
5622,0,24023,42679,DONE
3554,0,900,42679,DONE
3026,0,400,42679,DONE
3593,0,200,42679,DONE
3834,0,6600,42679,DONE
128,0,300,42680,DONE
3787,0,800,42680,DONE
5622,0,33410,42680,DONE
212,1,14800,42680,COMPLETED
3691,0,400,42680,DONE
1054,0,800,42680,DONE
2433,0,500,42680,DONE
2378,0,19136,42681,DONE
2378,1,33900,42681,COMPLETED
1019,0,4100,42681,DONE
456,1,10500,42681,COMPLETED
459,0,13400,42681,DONE
772,1,600,42681,COMPLETED
4937,0,700,42681,DONE
2124,0,500,42681,DONE
11295,0,3700,42681,DONE
322,0,1000,42681,DONE
3168,0,1000,42681,DONE
1536,0,100,42682,DONE
2676,0,3300,42682,DONE
4355,0,800,42682,DONE
2970,0,9400,42682,DONE
3554,0,45925,42682,DONE
4484,0,41740,42683,DONE
2396,0,500,42683,DONE
280,0,6200,42683,DONE
2425,0,8000,42683,DONE
1678,0,200,42683,DONE
925,0,500,42684,DONE
4055,0,3100,42684,DONE
1005,0,300,42684,DONE
4484,0,31332,42684,DONE
4484,1,62100,42684,COMPLETED
2110,0,600,42684,DONE
9307,0,7100,42684,DONE
9265,0,28361,42684,DONE
5065,1,4000,42684,COMPLETED
697,0,200,42684,DONE
5891,1,4500,42685,COMPLETED
477,0,900,42685,DONE
1366,0,900,42685,DONE
3117,0,900,42685,DONE
1050,0,1000,42685,DONE
1000,1,1500,42685,COMPLETED
2242,0,300,42686,DONE
1750,1,2500,42686,COMPLETED
2023,0,2700,42686,DONE
1649,0,11000,42686,DONE
562,0,300,42686,DONE
197,0,800,42686,DONE
5369,0,900,42686,DONE
6473,1,8900,42686,COMPLETED
6473,0,23990,42686,DONE
2670,1,1400,42687,COMPLETED
496,0,800,42687,DONE
2566,0,10700,42687,DONE
1127,0,1800,42687,DONE
7401,0,1100,42687,DONE
9,0,10900,42687,DONE
2,0,1100,42687,DONE
1829,0,900,42688,DONE
428,0,200,42688,DONE
4296,0,5200,42688,DONE
3651,0,800,42688,DONE
2486,0,200,42688,DONE
1688,0,800,42688,DONE
3008,0,200,42688,DONE
9203,0,900,42688,DONE
2902,0,3900,42688,DONE
1575,0,900,42688,DONE
361,0,600,42688,DONE
1775,0,900,42688,DONE
1019,0,33.4,42689,
1000,0,22.4,42689,
982,0,18.7,42689,
2378,1,14.6,42689,COMPLETED
1844,0,15.6,42689,
2632,0,121.8,42689,
2647,0,35.1,42689,
2670,0,10.8,42689,
2676,0,22.3,42689,
5891,0,21.6,42689,
1536,0,31,42689,
1477,0,9.8,42689,
1493,0,21.7,42689,
890,0,23,42689,
